class,page_id,lr_position,comment
3,1,Left,東京高専の皆さんへ前は、おもしろく、わかりやすく教えてくれてありがとうございました。再結晶ははじめは液体なのに時間がたつにつれてしも柱みたいにかたまっていったのがおもしろかったです。観察してシャーレをスケッチしたりして結晶がどうなっているのか分かりやすかったですより
3,1,Right,東京高専へ今日は理科の授業をしてくれてありがとうございました。とくに、火の色が変わる実験は、とてもおもしろかったです。おみそしるがなぜしょっぱいかまで教えてくださり、ありがとうございました。より
3,2,Left,東京高専のみなさんへ今日はありがとうございました。一番印象に残ったのは、炎の色が変わったときです。色が変わったときに少し理科に興味がわきました。より
3,2,Right,東京高専のみなさんへ今日は理科の実験を教えてくれてありがとうございました。どれもすごかったですがとくに印象に残ったのは、再結晶です。どんどんかたまっていく所がきれいで印象に残りました。本当にありがとうございました。
3,3,Left,東京高専のみなさんへ今日は、ありがとうございました。印象に残ったのは、炎色反応です。スプレーをふきかけて、炎の色が変化したところが印象に残りました。二番目は、再結晶です。再結晶は、出てきた線が雪の結晶みたいできれいでした。より
3,3,Right,東京高専のみなさんへ今日は、ありがとうございました。一番印象に残ったのは理科の実験で炎の色が変わったことです。より
3,4,Left,東京高専のみなさんへ今日は、おもしろい授業をしくれてありがとうございました。とくにおもしろかったのが炎色反応がおもしろかったです。なぜならぼくはハリーポッターが好きなのじ緑色のときに闇のまじゅつみたいですごくたのしかったです。みなさんのおかげで理科が好きになりました。また炎色反応の緑が見たいです。
3,4,Right,東京高専のみなさんへ今日はおもしろい実験をみせてくれてありがとうございました。他のことをたくさん、しりたくなりました。
3,5,Left,東京高専のみなさんへ今日はありがとうございました。一番すごかったのが炎の実験で、色々な色に変わっていたのでそれか本当にすごかったです。最後にやった結晶もきれいで、すごかったです。本当にありがとうございました。より
3,5,Right,東京高専のみなさんへ。今日は、ありがとうございました。一番印象に残ったのは、再結晶の実験です。理由は初めて見た結晶なのでびっくり、おもしろいと思ったからです。楽しかったし、初めてたいけんできてよかったです。より
3,6,Left,東京高専のみなさんへ今日はありがとうございました。一番印象に残ったのは結晶を観察をしたことで完成しているものだけでなく完成するまでの過程が見れたことが分かりやすかったです。とても分かりやすく、楽しい授業でした。5-より
3,6,Right,東京高専のみなさんへ今日はありがとうございました。炎色反応で緑になるのが魔法みたいで面白かったです。結晶のスケッチはむずかしかったけど楽しかったです。より
3,7,Left,東京高専のみなさんへ今日は、ありがとうございました。わたしが一番印象に残ったことは、銅やナトリウムなどの水を火にふきかけて、色が変化するところが一番印象に残りました。わたしは、実験をすることも見ることも好きなのでとても楽しかったです。東京高専でも、がんばってください。より
3,7,Right,東京高専のみなさんへ今日はありがとうございました。一番印象に残ったのは、火の色が変わったことです。火の色が変わることあるんだな~って思いました。火の色が変わってきれいでした。より
3,8,Left,東京高専のみなさんへ......今日はありがとうございました。一番印象に残ったのは、炎色反応です。火に水よう液をふきかけるだけで、何をとかしたかが分かるということが分かりました。炎色反応などのことを教えてくわしてありがとうございました。より
3,8,Right,東京高専のみなさんへ今日は、水よう液について授業をしてくれてありがとうございました。授業の中の、さく酸ナトリウムをとかす実験で、氷のようなのはさく酸ナトリウムの形が変わったものだと一番印象に残りました。勉強になりました。より
3,9,Left,東京高専のみなさんへ45分間ありがとうございます。炎色反応は少し知っていましたが、見たことがなかったので楽しかったです。特に銅が緑色になったのがおどろきました。次あうことがあればまたなにか見せてほしいです。いより
3,9,Right,東京高専のみなさんへ今日はありがとうございました。一番印象に残ったのは、炎色反応で、炎の色が、赤色や緑色に変わったことです。水にとけた金属を燃やしたとき、色が変わってとてもびっくりしました。私はこの実験を通して、科学に興味をもちました。
3,10,Left,東京高専のみなさんへ色々な実験ありがとうございました。とてもおもしろくてたのしかったです。
3,10,Right,東京高専のみなさん今日はありがとうございます。一番印象に残ったのは再結晶のいっきにひょうめんがほっきょくみたいになったことが印象てきでした。
3,11,Right,東京高専のみなさんへ今日は、ありがとうございました。とても楽しかったです。とくに印象に残ったのは、バリウム、カルシウム、ナトリウムなど火にふきかけると色が変わるところです。私実験好きなのでもう1回やってみたいです。
