page_id,class,reason_text
1,3.0,ナトリウムが入っているから
2,3.0,ナトリウムが入っているから
3,3.0,ナトリウムが入っているから
4,3.0,ナトリウムが入っているから
5,3.0,塩が入っているから
6,3.0,塩が入っているから
7,3.0,ナトリウムが入っているから
8,3.0,ナトリウムが含まれているから
9,3.0,ナトリウムが入っているから
10,3.0,ナトリウムが入っているから
11,3.0,みそが入っているから
12,3.0,塩が入っているから
14,3.0,ナトリウムが入っているから
15,3.0,ナトリウムが入っているから
16,3.0,ナトリウムが入っているから
17,3.0,ナトリウムが入っているから
18,3.0,ナトリウムが入っているから
20,3.0,ナトリウムが入っているから
21,3.0,ナトリウムが入っているから
22,3.0,ナトリウムが入っているから
23,3.0,塩が入っているから
24,3.0,とけた塩が粒になってみそになってる
1,1.0,みそに塩がはいっているから
2,1.0,みそにふくまれているしょっぱいもの（塩？）がみそと一緒にとけたから。
3,1.0,みそにふくまれている塩分がはいっているから
4,1.0,みそが水にとけているから。
5,1.0,食塩が入っているから
6,1.0,みそなど水よう液になる物がはいるから
7,1.0,塩分をふくんでいる。
8,1.0,みその成分がとけているから
9,1.0,しおの成分がはいっているから
10,1.0,しおの成分がはいっているから
11,1.0,塩分がとけて入っているから
12,1.0,みそなど色々なものが入っているから。
13,1.0,みそや塩が水に溶けているから。
14,1.0,しょっぱい物がとけてみそしるになっているから。
15,1.0,みそがしょっぱいからそれをとかして，みそしるになる
16,1.0,みそにえん分がはいっているから
18,1.0,塩がとけているから
19,1.0,みそに食塩が入っているから
20,1.0,みそがとけているから
21,1.0,しおがとけているから
22,1.0,みそに塩が入っているから
23,1.0,塩分をふくんでいるから。
24,1.0,ナトリウムが入っているから
1,4.0,ナトリウムが入っているから
2,4.0,塩化ナトリウムがみそ汁の中にとけているから
3,4.0,ナトリウムが入っているから
4,4.0,ナトリウムのおかげ
5,4.0,みその塩が入っていて、その中にナトリウムが入っているから
6,4.0,ナトリウムが入っているから
7,4.0,ストロンチウムを入れたから
8,4.0,みその中にあるナトリウムのせい
9,4.0,ナトリウムが入っているから
10,4.0,塩化ナトリウムがおゆに解けているから
11,4.0,みそがとけるとすっぱくなる
12,4.0,ナトリウムがおゆにとけているから
13,4.0,ナトリウムが入っているから
14,4.0,ナトリウムが入っているから
15,4.0,ナトリウム　Na
16,4.0,ナトリウムが入っているから
17,4.0,ナトリウムが入っているから
18,4.0,ナトリウム　Na
19,4.0,ナトリウムの成分がしょっぱい
20,4.0,ナトリウムが入っているから
21,4.0,食塩 ナトリウム
22,4.0,ナトリウムが混ざっていた
23,4.0,みそが入っていてみそがしょっぱいからみそしるはしょっぱい
24,4.0,ナトリウムが入っているから
25,4.0,ナトリウムが入っているから
1,2.0,みそがとけたから
2,2.0,みそに塩が入っているから
3,2.0,みその中に塩がふくまれているから。
4,2.0,塩が入っているから。
5,2.0,みそしるのつくりかたが，きがうから。
6,2.0,塩分がとけているから
7,2.0,みその中に塩が入ってそれが広がってしょっぱくなる。
8,2.0,ナトリウムが入っているから。
9,2.0,みそをいっぱいいれたから。
10,2.0,"人の舌がしょっぱいとかんじているから
みかくにしおがくっつくから"
11,2.0,食塩が入っているから
12,2.0,みその入れすぎ。
13,2.0,みそに塩が入っているから
14,2.0,みそに塩分がふくまれているから。
15,2.0,みその中に塩が入っていて，汁にとけているから。
16,2.0,みその中にある塩分が水にとけたから
17,2.0,食塩がはいっているから
19,2.0,みその中にある塩が水に溶けたから。
20,2.0,塩が入っているから。
21,2.0,塩分がみそにふくまれているから
22,2.0,塩分がまざっているから
23,2.0,みそが入っているから。
24,2.0,みそをいれているから。
25,2.0,塩分があったから。
26,2.0,みそに塩の成分が入っているから。
