Page_ID,class,Q2_MisoSalty_Reason
1,3.0,みその中に
2,3.0,みそに塩が入っている
3,3.0,みそに塩が入っているから
4,3.0,みそが入っているから
5,3.0,塩が使われているから
6,3.0,食塩が含まれているから
7,3.0,塩が溶けているから
8,3.0,みその中にしょっぱくなる成分が入っているから
9,3.0,みそを使っていて，塩も使っているから
10,3.0,みそが入っているから
12,3.0,みその中に食塩が入っているから
13,3.0,みその中に食塩が入っている
14,3.0,塩が入っているから
15,3.0,食塩が入っているから
16,3.0,塩が入っているから
17,3.0,みそが入っているから
19,3.0,みそを入れているから
20,3.0,みそに塩が入っているから
21,3.0,塩を溶かして作っているから
22,3.0,塩が入っているから
23,3.0,食塩とみそが入っているから
24,3.0,みそが入っているから
1,1.0,しょうゆなどがとけてしょっぱくなる。
3,1.0,みそが入っているから
5,1.0,みそが水にとける
8,1.0,みそが入っているから
12,1.0,たぶんみぞに塩がはいっているから
13,1.0,みそに塩が入っているからです。
14,1.0,塩が水に溶
15,1.0,はっこう食品だから
16,1.0,食分が入っているから
20,1.0,みそが入っているから。
21,1.0,みそがしょっぱいから。
22,1.0,みそに食塩が入っているから
23,1.0,みそがまざっているから
24,1.0,？
1,4.0,みそ汁の中にみそを使っているから
2,4.0,みそ汁の中に入っているみそがしょっぱくて、そのしょっぱいのを水に溶かした物だと思う
3,4.0,みそがはいってるから
4,4.0,みそのせいぶんのさんみが強い
5,4.0,目に見えない小さい塩の粒がとけているから
6,4.0,みその中に食塩が入っているから
7,4.0,みそしるに入っているみそに塩が入っているから
8,4.0,塩が入っているから
9,4.0,大豆としょうゆをまぜたものだから
10,4.0,みそしるにはいっているみそは、同じ大豆でできているしょうゆがしょっぱいから
11,4.0,みそが入っているから。
12,4.0,みそが入っていて、みその中に食塩が入っているから
13,4.0,味のあるみそが水にとけているから
14,4.0,みそをいれているから
15,4.0,みそに塩が入っているから
16,4.0,えんぶんが多いものがふくまれているから
17,4.0,なし
18,4.0,みそのしょっぱさだけがしるにしみているから
19,4.0,みそが入っているから。
20,4.0,みそがはいっているから
21,4.0,みそがこいから
22,4.0,みそに塩が入っているからです。
23,4.0,食塩水をベースで作ったから
24,4.0,みそがしょっぱいから。
25,4.0,みそが入っていてみそはしょっぱいからしょっぱいとおもった
1,2.0,みそに塩の成分が入っているから。
2,2.0,塩分がたくさん含まれているから
3,2.0,みその中に塩が入ってるから。
4,2.0,食塩がはいるから
5,2.0,みそから出た成分がとけてしょっぱくなる。
6,2.0,みそがとけたから
7,2.0,みそがとけたから。
8,2.0,みそがはいっているから
9,2.0,みそが入っているから。
11,2.0,みそに塩分がふくまれているから。
12,2.0,塩が入っているから。
14,2.0,みそしるのつくりかたがちがうから
15,2.0,みその中にある塩分が水にとけているから
16,2.0,みそに塩が入っているから。
17,2.0,塩が入っているから
18,2.0,みそに塩が入っているから
19,2.0,塩が入っているから
21,2.0,みその中に入っている塩が水に溶けているから。
22,2.0,塩分がまざっているから
23,2.0,みその入れすぎ。
24,2.0,塩が入っているから。
25,2.0,塩が入っているから
26,2.0,下に塩がたまるから
